Pt,T,Vf,Im,Vu,Pwr,Sig,Ach,IERange,Over
0,0.05,0.908678,-0.000175041,0.0,-0.000159056,0.0009625,-0.000104675,11,...........
1,0.1,0.90865,-0.000203296,0.0,-0.000184725,0.0010875,-0.000107342,11,...........
2,0.15,0.908621,-0.000227633,0.0,-0.000206832,0.0012125,-0.000116678,11,...........
3,0.2,0.908599,-0.000255753,0.0,-0.000232377,0.0013375,-0.000116678,11,...........
4,0.25,0.90856,-0.000277298,0.0,-0.000251942,0.0014625,-0.00011201,11,...........
5,0.3,0.908524,-0.000302863,0.0,-0.000275158,0.0015875,-0.000111343,11,...........
6,0.35,0.908488,-0.00033029,0.0,-0.000300064,0.0017125,-0.00011401,11,...........
7,0.4,0.908447,-0.000359581,0.0,-0.000326661,0.0018375,-0.000114677,11,...........
8,0.45,0.9084,-0.00037948,0.0,-0.00034472,0.0019625,-0.00011101,11,...........
9,0.5,0.908352,-0.000403451,0.0,-0.000366475,0.0020875,-0.000116678,11,...........
10,0.55,0.908304,-0.000432305,0.0,-0.000392665,0.0022125,-0.000111343,11,...........
11,0.6,0.908251,-0.000451085,0.0,-0.000409698,0.0023375,-0.000111676,11,...........
12,0.65,0.908202,-0.00047574,0.0,-0.000432068,0.0024625,-0.000109676,11,...........
13,0.7,0.908138,-0.000501919,0.0,-0.000455811,0.0025875,-0.000118678,11,...........
14,0.75,0.908083,-0.000525657,0.0,-0.000477339,0.0027125,-0.000107675,11,...........
15,0.8,0.908017,-0.000552126,0.0,-0.00050134,0.0028375,-0.000116678,11,...........
16,0.85,0.907949,-0.000573532,0.0,-0.000520737,0.0029625,-0.000112677,11,...........
17,0.9,0.907882,-0.000602342,0.0,-0.000546856,0.0030875,-0.000105675,11,...........
18,0.95,0.907811,-0.000629416,0.0,-0.000571391,0.0032125,-0.000108676,11,...........
19,1.0,0.907741,-0.000652165,0.0,-0.000591997,0.0033375,-0.000112677,11,...........
20,1.05,0.907666,-0.000678425,0.0,-0.000615783,0.003475,-0.00011201,11,...........
